index,id,level_1,level_2,level_3
0,data/2006/05/31/1765639.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
1,data/2006/05/31/1765692.xml,Top--News,Top--News--New York and Region,None
1,data/2006/05/31/1765692.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
2,data/2006/05/31/1765687.xml,Top--News,Top--News--New York and Region,None
2,data/2006/05/31/1765687.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
2,data/2006/05/31/1765687.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
3,data/2006/05/03/1758870.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
3,data/2006/05/03/1758870.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
6,data/2006/05/03/1758984.xml,Top--Features,Top--Features--Arts,None
6,data/2006/05/03/1758984.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
7,data/2006/05/09/1760353.xml,Top--Features,Top--Features--Arts,None
9,data/2006/05/09/1760291.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
11,data/2006/05/09/1760429.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Editorials
11,data/2006/05/09/1760429.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
12,data/2006/05/28/1764932.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
13,data/2006/05/28/1765148.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
14,data/2006/05/28/1765050.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Op-Ed
14,data/2006/05/28/1765050.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
15,data/2006/05/28/1764808.xml,Top--Features,Top--Features--Arts,None
16,data/2006/05/28/1765037.xml,Top--Features,Top--Features--Week in Review,None
17,data/2006/05/28/1765082.xml,Top--News,Top--News--Sports,Top--News--Sports--Baseball
18,data/2006/05/22/1763668.xml,Top--News,Top--News--Sports,Top--News--Sports--Pro Basketball
19,data/2006/05/22/1763602.xml,Top--Features,Top--Features--Arts,None
19,data/2006/05/22/1763602.xml,Top--News,Top--News--Technology,None
19,data/2006/05/22/1763602.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
20,data/2006/05/10/1760643.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
21,data/2006/05/10/1760522.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
22,data/2006/05/17/1762344.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Op-Ed
22,data/2006/05/17/1762344.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
23,data/2006/05/17/1762232.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
24,data/2006/05/17/1762306.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
24,data/2006/05/17/1762306.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
25,data/2006/05/17/1762333.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
25,data/2006/05/17/1762333.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
26,data/2006/05/25/1764145.xml,Top--Features,Top--Features--Style,Top--Features--Style--Fashion and Style
26,data/2006/05/25/1764145.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
26,data/2006/05/25/1764145.xml,Top--News,Top--News--Health,"Top--News--Health--Diseases, Conditions, and Health Topics"
27,data/2006/05/25/1764285.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Letters
27,data/2006/05/25/1764285.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
28,data/2006/05/25/1764135.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
29,data/2006/05/25/1764287.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
30,data/2006/05/04/1759204.xml,Top--News,Top--News--Business,None
30,data/2006/05/04/1759204.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
33,data/2006/05/21/1763438.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
34,data/2006/05/21/1763134.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
37,data/2006/05/21/1763541.xml,Top--News,Top--News--New York and Region,None
38,data/2006/05/21/1763268.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--Westchester
38,data/2006/05/21/1763268.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
39,data/2006/05/21/1763432.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
39,data/2006/05/21/1763432.xml,Top--News,Top--News--Health,"Top--News--Health--Diseases, Conditions, and Health Topics"
40,data/2006/05/21/1763053.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
41,data/2006/05/21/1763564.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
42,data/2006/05/13/1761203.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
43,data/2006/05/13/1761361.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
43,data/2006/05/13/1761361.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
44,data/2006/05/19/1762877.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
44,data/2006/05/19/1762877.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
45,data/2006/05/19/1762764.xml,Top--News,Top--News--Business,None
48,data/2006/05/14/1761633.xml,Top--Features,Top--Features--Style,Top--Features--Style--Fashion and Style
49,data/2006/05/14/1761671.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--The City
49,data/2006/05/14/1761671.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
49,data/2006/05/14/1761671.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
50,data/2006/05/14/1761670.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--The City
50,data/2006/05/14/1761670.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
51,data/2006/05/14/1761803.xml,Top--Opinion,Top--Opinion--Opinion,None
51,data/2006/05/14/1761803.xml,Top--News,Top--News--New York and Region,Top--News--New York and Region--Westchester
52,data/2006/05/26/1764424.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
52,data/2006/05/26/1764424.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
54,data/2006/05/26/1764346.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
55,data/2006/05/26/1764381.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
57,data/2006/05/07/1760081.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
58,data/2006/05/07/1760049.xml,Top--News,Top--News--Sports,Top--News--Sports--Baseball
60,data/2006/05/07/1759917.xml,Top--Features,Top--Features--Style,Top--Features--Style--Fashion and Style
61,data/2006/05/07/1760012.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Op-Ed
61,data/2006/05/07/1760012.xml,Top--News,Top--News--Health,"Top--News--Health--Diseases, Conditions, and Health Topics"
62,data/2006/05/07/1760083.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
64,data/2006/05/05/1759252.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
65,data/2006/05/16/1762029.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
66,data/2006/05/16/1762020.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
67,data/2006/05/16/1762153.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
68,data/2006/05/16/1762050.xml,Top--News,Top--News--Health,None
68,data/2006/05/16/1762050.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
69,data/2006/05/16/1762149.xml,Top--News,Top--News--New York and Region,None
70,data/2006/05/16/1762158.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
70,data/2006/05/16/1762158.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
71,data/2006/05/24/1764001.xml,Top--Opinion,Top--Opinion--Opinion,Top--Opinion--Opinion--Op-Ed
71,data/2006/05/24/1764001.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
72,data/2006/05/24/1763919.xml,Top--Classifieds,Top--Classifieds--Paid Death Notices,None
73,data/2006/05/23/1763838.xml,Top--News,Top--News--U.S.,None
74,data/2006/05/23/1763785.xml,Top--Classifieds,Top--Classifieds--Job Market,Top--Classifieds--Job Market--Job Categories
74,data/2006/05/23/1763785.xml,Top--Features,Top--Features--Travel,Top--Features--Travel--Guides
